id,date,city,state,type,ideology,subideology,group,description,image
25831,3/31/2022,San Antonio,TX,Harassment,,,Goyim Defense League,"Individuals associated with the antisemitic Goyim Defense League distributed propaganda in a residential neighborhood that read: ""Every single aspect of the Covid agenda is Jewish.""",
26534,3/31/2022,San Antonio,TX,Harassment,Right Wing (White Supremacist),,Aryan Freedom Network,"The Aryan Freedom Network, a neo-Nazi group, distributed propaganda in a residential neighborhood that read: ""It's okay to be white."" Other propaganda promoted the antisemitic film, ""Europa - The Last Battle.""",
25829,3/30/2022,Great Falls,MT,Harassment,,,Goyim Defense League,"Individuals associated with the antisemitic Goyim Defense League distributed propaganda in a residential neighborhood that read: ""Every single aspect of the Biden administration is Jewish.""",
25830,3/29/2022,Cartersville,GA,Harassment,Right Wing (White Supremacist),,Goyim Defense League,"Individuals associated with the antisemitic Goyim Defense League, including known white supremacists, distributed propaganda in a residential neighborhood that read: ""Every single aspect of the Ukraine-Russia war is Jewish.""",
25832,3/28/2022,Frederick,MD,Vandalism,,,Goyim Defense League,"Individuals associated with the antisemitic Goyim Defense League distributed propaganda at a synagogue that read: ""600+ Jewish groups support BLM terrorists.""",
25833,3/27/2022,Bangor,PA,Harassment,,,Goyim Defense League,"Individuals associated with the antisemitic Goyim Defense League distributed propaganda in a residential neighborhood that read: ""Every single aspect of the Covid agenda is Jewish.""",
26549,3/27/2022,Katy,TX,Harassment,,,Goyim Defense League,"Individuals associated with the antisemitic Goyim Defense League distributed propaganda in a residential neighborhood that read: ""Every single aspect of the Biden administration is Jewish,"" ""Every single aspect of the Covid agenda is Jewish"" and ""Every single aspect of the Ukraine-Russia war is Jewish.""",
25834,3/26/2022,Sarasota,FL,Harassment,Right Wing (White Supremacist),,Goyim Defense League,"Individuals associated with the antisemitic Goyim Defense League, including known white supremacists, distributed propaganda in a residential neighborhood that read: ""Every single aspect of the Ukraine-Russia war is Jewish.""",
26537,3/26/2022,Cartersville,GA,Harassment,Right Wing (White Supremacist),,,"An unknown person or group distributed copies of The Truth at Last, a white supremacist publication, that claimed there is a ""secret kosher tax"" on food.",
25809,3/21/2022,Cartersville,GA,Harassment,,,Goyim Defense League,"Individuals associated with the antisemitic Goyim Defense League distributed propaganda that read: ""Pick your Jewish poison.""",
25790,3/20/2022,Houston,TX,Harassment,Right Wing (White Supremacist),,Aryan Freedom Network,"The Aryan Freedom Network, a neo-Nazi group, distributed propaganda in a residential neighborhood that read: ""It's okay to be white"" and ""6 Million Kikes? We Wish!"" They also distributed propaganda that featured a photo of Adolf Hitler with the message ""We can do it again,"" as well as propaganda featuring a swastika and the message ""White Lives Matter.""",
26550,3/19/2022,Columbus,GA,Harassment,,,Goyim Defense League,"Individuals associated with the antisemitic Goyim Defense League distributed propaganda in a residential neighborhood that read: ""Every single aspect of the Covid agenda is Jewish.""",
25811,3/18/2022,Huntington Beach,CA,Harassment,,,Goyim Defense League,"Individuals associated with the antisemitic Goyim Defense League distributed propaganda in a residential neighborhood that read: ""Every single aspect of the Covid agenda is Jewish"" and ""Every single aspect of the Ukraine-Russia war is Jewish.""",
25793,3/15/2022,Salisbury,NC,Harassment,Right Wing (White Supremacist),,White Lives Matter; Goyim Defense League,"Individuals associated with White Lives Matter, a network of anonymous white supremacists, distributed propaganda in a residential neighborhood that promoted the antisemitic film ""Europa - The Last Battle."" They also distributed propaganda from the antisemitic Goyim Defense League that read: ""Every single aspect of the Covid agenda is Jewish.""",
26539,3/13/2022,San Antonio,TX,Harassment,Right Wing (White Supremacist),,Aryan Freedom Network,"The Aryan Freedom Network, a neo-Nazi group, distributed propaganda in a residential neighborhood that featured an image of a Nazi soldier and read: ""We are the future.""",
25767,3/12/2022,Wooster,OH,Harassment,Right Wing (White Supremacist),,White Lives Matter,"Approximately 19 individuals associated with ""White Lives Matter"" Ohio, a white supremacist network, held a flash demonstration in Wooster Square. ",
25773,3/12/2022,Rancho Cordova,CA,Harassment,Right Wing (White Supremacist),,White Lives Matter,"Approximately one dozen individuals associated with ""White Lives Matter"" California, a white supremacist network, demonstrated and hung banners from the Salmon Falls pedestrian bridge that read: ""Wake up white man, your people need you,"" ""Watch Europa - The Last Battle,"" ""We won't forget Waukesha,"" and ""White Lives Matter.""",
25774,3/12/2022,Vilonia,AR,Harassment,Right Wing (White Supremacist),,White Lives Matter,"Six individuals associated with ""White Lives Matter"" Arkansas and Louisiana, a white supremacist network, participated in a flash demonstration holding signs and banners that read: ""Watch 'Europa The Last Battle,'"" ""No white guilt,"" ""If white lives matter, honk,"" ""Your children are watching,"" ""White woman you are less than 3% of the population"" and ""Saying it’s ok to be white is hate speech.” They also distributed propaganda promoting ""Europa - The Last Battle.""",
25775,3/12/2022,Cullman,AL,Harassment,Right Wing (White Supremacist),,White Lives Matter,"Four individuals associated with ""White Lives Matter"" Alabama, a white supremacist network, held a flash demonstration holding signs that read: ""Watch Europa The Last Battle,"" ""White Lives Matter"" and ""Honk for White Lives Matter."" They also distributed propaganda and hung banners from a nearby overpass.",
