,month_year
2021-05,387
2018-11,300
2021-12,275
2017-03,273
2017-02,273
2020-01,270
2018-10,255
2021-11,243
2021-10,238
2021-06,232
2021-04,226
2016-11,226
2019-10,224
2021-09,221
2019-05,216
2018-05,209
2019-03,209
2017-01,206
2019-11,198
2019-12,198
2020-02,195
2018-12,194
2021-07,191
2021-03,190
2020-04,185
2017-10,183
2019-09,176
2021-02,176
2021-01,173
2019-04,166
2020-06,165
2020-07,165
2021-08,165
2020-10,159
2017-05,158
2019-06,156
2020-05,156
2020-08,155
2017-09,152
2019-07,151
2017-08,151
2020-03,148
2020-11,146
2020-09,145
2016-12,144
2019-08,143
2016-03,143
2017-11,143
2018-04,137
2019-02,136
2020-12,135
2019-01,134
2017-12,124
2018-09,122
2017-04,122
2018-03,121
2016-10,118
2017-06,118
2018-08,115
2018-02,111
2018-07,108
2018-06,106
2018-01,101
2016-05,98
2022-01,95
2022-02,92
2016-04,89
2016-06,89
2017-07,83
2016-09,81
2016-01,78
2016-08,77
2016-02,70
2022-03,65
2016-07,54
