state,city
Alabama,18
Alaska,2
Arizona,27
Arkansas,24
California,279
Colorado,57
Connecticut,66
Delaware,12
District of Columbia,1
Florida,145
Georgia,51
Hawaii,6
Idaho,8
Illinois,76
Indiana,39
Iowa,17
Kansas,12
Kentucky,15
Louisiana,13
Maine,21
Maryland,60
Massachusetts,158
Michigan,73
Minnesota,58
Mississippi,18
Missouri,21
Montana,12
Nebraska,13
Nevada,9
New Hampshire,31
New Jersey,369
New Mexico,11
New York,318
North Carolina,35
North Dakota,4
Ohio,71
Oklahoma,7
Oregon,28
Pennsylvania,161
Rhode Island,16
South Carolina,21
South Dakota,8
Tennessee,15
Texas,97
Utah,13
Vermont,25
Virginia,69
Washington,48
West Virginia,12
Wisconsin,44
Wyoming,3
